Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-0.063003759	
0.0195	0.0000	0.041854704	
0.0391	0.0000	0.155984353	
0.0586	0.0000	0.058999681	
0.0781	0.0000	-1.096096098	
0.0977	0.0000	-2.056295414	
0.1172	0.0000	-2.294269303	
0.1367	0.0000	-2.105432702	
0.1562	0.0000	-2.130747072	
0.1758	0.0000	-2.016845843	
0.1953	0.0000	-0.913588090	
0.2148	0.0000	1.103284627	
0.2344	0.0000	2.347880947	
0.2539	0.0000	2.787563606	
0.2734	0.0000	2.453249996	
0.2930	0.0000	2.630907427	
0.3125	0.0000	2.483791166	
0.3320	0.0000	2.493572939	
0.3516	0.0000	2.666635087	
0.3711	0.0000	2.573103595	
0.3906	0.0000	2.027393498	
0.4102	0.0000	0.862193469	
0.4297	0.0000	0.614934957	
0.4492	0.0000	0.443740483	
0.4688	0.0000	0.228366790	
0.4883	0.0000	0.038361214	
0.5078	0.0000	-0.084179686	
0.5273	0.0000	-0.079880005	
0.5469	0.0000	-0.020853451	
0.5664	0.0000	-0.097213093	
0.5859	0.0000	-0.019066397	
0.6055	0.0000	0.174808893	
0.6250	0.0000	0.289583494	
0.6445	0.0000	0.315126285	
0.6641	0.0000	-0.132430165	
0.6836	0.0000	-1.708357191	
0.7031	0.0000	-1.757924447	
0.7227	0.0000	-1.600650190	
0.7422	0.0000	-1.458491997	
0.7617	0.0000	-1.544888706	
0.7812	0.0000	-1.142613269	
0.8008	0.0000	0.016325350	
0.8203	0.0000	0.459649302	
0.8398	0.0000	0.250846058	
0.8594	0.0000	-0.360891011	
0.8789	0.0000	-0.445661903	
0.8984	0.0000	0.154479465	
0.9180	0.0000	0.060518006	
0.9375	0.0000	0.188124466	
0.9570	0.0000	0.072879588	
0.9766	0.0000	-0.233674209	
0.9961	0.0000	-0.530661215	
1.0156	0.0000	-0.402235128	
1.0352	0.0000	-0.321898282	
1.0547	0.0000	-0.203240531	
1.0742	0.0000	0.006194227	
1.0938	0.0000	0.066228519	
1.1133	0.0000	-0.144375215	
1.1328	0.0000	-0.518407125	
1.1523	0.0000	-0.793331396	
1.1719	0.0000	0.016164112	
1.1914	0.0000	-0.023003292	
1.2109	0.0000	0.059134046	
1.2305	0.0000	0.095291673	
1.2500	0.0000	0.058032253	
1.2695	0.0000	0.190932695	
