Data Size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X	Y	Z
0.0000	0.0000	-0.546369693	
0.0195	0.0000	1.135697144	
0.0391	0.0000	0.310606686	
0.0586	0.0000	-2.500640539	
0.0781	0.0000	-2.166160863	
0.0977	0.0000	-1.226447384	
0.1172	0.0000	-1.349399987	
0.1367	0.0000	-1.183212395	
0.1562	0.0000	-0.616778382	
0.1758	0.0000	0.558060500	
0.1953	0.0000	0.668217826	
0.2148	0.0000	-3.493599517	
0.2344	0.0000	-2.284296059	
0.2539	0.0000	0.119297546	
0.2734	0.0000	0.110394013	
0.2930	0.0000	-0.641064387	
0.3125	0.0000	-0.443408559	
0.3320	0.0000	-0.190985575	
0.3516	0.0000	-0.311734565	
0.3711	0.0000	0.163949365	
0.3906	0.0000	0.455996620	
0.4102	0.0000	-0.171993775	
0.4297	0.0000	-0.022628749	
0.4492	0.0000	-1.171364234	
0.4688	0.0000	-1.342016314	
0.4883	0.0000	-0.690139584	
0.5078	0.0000	-0.640164351	
0.5273	0.0000	1.240184948	
0.5469	0.0000	2.591028519	
0.5664	0.0000	2.651914139	
0.5859	0.0000	2.803052744	
0.6055	0.0000	1.807708577	
0.6250	0.0000	2.110115323	
0.6445	0.0000	3.288420770	
0.6641	0.0000	2.318444510	
0.6836	0.0000	0.797182056	
0.7031	0.0000	0.811039971	
0.7227	0.0000	0.040353933	
0.7422	0.0000	0.622508683	
0.7617	0.0000	-0.164677363	
0.7812	0.0000	-0.955894386	
0.8008	0.0000	-1.007472184	
0.8203	0.0000	-0.044741984	
0.8398	0.0000	1.302849960	
0.8594	0.0000	-0.546948408	
0.8789	0.0000	-0.652030410	
0.8984	0.0000	0.063777230	
0.9180	0.0000	0.702217477	
0.9375	0.0000	1.644228650	
0.9570	0.0000	1.360132078	
0.9766	0.0000	0.713720278	
0.9961	0.0000	-0.125008177	
1.0156	0.0000	-1.081171713	
1.0352	0.0000	-2.468190127	
1.0547	0.0000	-2.416978579	
1.0742	0.0000	-1.039678640	
1.0938	0.0000	0.925025072	
1.1133	0.0000	-0.210394826	
1.1328	0.0000	-3.054991568	
1.1523	0.0000	-1.882020412	
1.1719	0.0000	0.244311011	
1.1914	0.0000	1.093489312	
1.2109	0.0000	0.843978401	
1.2305	0.0000	0.035885141	
